6cf2d1cf-9d93-11e5-80cb-0050569c0a68#18619ada-4d78-11e6-beea-005056954238;1;28,9;25;137;97;
6cf2d1f6-9d93-11e5-80cb-0050569c0a68#18619ad3-4d78-11e6-beea-005056954238;1;15;29,8;81;81;
6cf2d1fd-9d93-11e5-80cb-0050569c0a68#18619adf-4d78-11e6-beea-005056954238;1;24,5;25;95;95;
6cf2d1fd-9d93-11e5-80cb-0050569c0a68#96287c41-56ad-11e7-a8c1-005056954238;1;24,5;25;95;95;
72eb1339-9d93-11e5-80cb-0050569c0a68#0ab00782-5072-11e6-beea-005056954238;1;4;97;56;41;
72eb1339-9d93-11e5-80cb-0050569c0a68#0ab00782-5072-11e6-beea-005056954238;2;8;97;56;41;
72eb1339-9d93-11e5-80cb-0050569c0a68#0ab00782-5072-11e6-beea-005056954238;3;16;69;100;42;
72eb1339-9d93-11e5-80cb-0050569c0a68#0ab00782-5072-11e6-beea-005056954238;4;16;69;100;42;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c17-4ab2-11e6-8afe-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c17-4ab2-11e6-8afe-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c17-4ab2-11e6-8afe-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c17-4ab2-11e6-8afe-005056954238;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#c87a3ef0-f435-11e6-b7ee-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#c87a3ef0-f435-11e6-b7ee-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#c87a3ef0-f435-11e6-b7ee-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#c87a3ef0-f435-11e6-b7ee-005056954238;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#c30e1094-25c4-11e6-80e8-d4ae5290bab1;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#c30e1094-25c4-11e6-80e8-d4ae5290bab1;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#c30e1094-25c4-11e6-80e8-d4ae5290bab1;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#c30e1094-25c4-11e6-80e8-d4ae5290bab1;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c1d-4ab2-11e6-8afe-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c1d-4ab2-11e6-8afe-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c1d-4ab2-11e6-8afe-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c1d-4ab2-11e6-8afe-005056954238;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c19-4ab2-11e6-8afe-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c19-4ab2-11e6-8afe-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c19-4ab2-11e6-8afe-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c19-4ab2-11e6-8afe-005056954238;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#13517947-f43a-11e6-b7ee-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#13517947-f43a-11e6-b7ee-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#13517947-f43a-11e6-b7ee-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#13517947-f43a-11e6-b7ee-005056954238;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c13-4ab2-11e6-8afe-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c13-4ab2-11e6-8afe-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c13-4ab2-11e6-8afe-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c13-4ab2-11e6-8afe-005056954238;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c0f-4ab2-11e6-8afe-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c0f-4ab2-11e6-8afe-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c0f-4ab2-11e6-8afe-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#01d09c0f-4ab2-11e6-8afe-005056954238;4;15,6;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#f5dc43e2-55b9-11e7-a8c1-005056954238;1;3,9;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#f5dc43e2-55b9-11e7-a8c1-005056954238;2;7,8;50;52;52;
72eb1354-9d93-11e5-80cb-0050569c0a68#f5dc43e2-55b9-11e7-a8c1-005056954238;3;11,7;52;59;59;
72eb1354-9d93-11e5-80cb-0050569c0a68#f5dc43e2-55b9-11e7-a8c1-005056954238;4;15,6;52;59;59;
